task,model,accuracy,precision_macro,recall_macro,f1_macro,f1_weighted
Category,Logistic Regression,0.5313318368873925,0.7939717736015044,0.8318854335693472,0.8040176272427527,0.5376532589484785
Category,Linear SVM,0.7088477366255144,0.8559694956506315,0.897520733701849,0.8735043588153609,0.7089578611730815
Priority,Logistic Regression,0.2617845117845118,0.18929182602440758,0.1890723640361304,0.18516011419397937,0.2747037327451761
Priority,Linear SVM,0.29236812570145904,0.190664242107574,0.19053970785382762,0.19051967721480925,0.293781294377142
