task,model,accuracy,precision_macro,recall_macro,f1_macro,f1_weighted,training_time_seconds
Category,Linear SVM,0.6489570666916098,0.8562749626751848,0.9033866407097798,0.8754618895296163,0.6490391604218589,12.070484638214111
Category,Logistic Regression,0.5192217753250398,0.8095333487738107,0.8431724244947569,0.8183006087106244,0.5240199953880067,76.15389037132263
Priority,Linear SVM,0.304742306613039,0.19863817701373004,0.1986283918741831,0.1986128739577228,0.3047633679373782,4.975340366363525
Priority,Logistic Regression,0.2747170517257506,0.19815327546629705,0.19777544182335513,0.19409485404114907,0.2875897865383453,15.575518608093262
